DATE,BLOCK,PLOT,BURNED,RODENTS,TRANSECT,SPECIES,1,2,3,4,5,6,7,8,9,10,11,12,mean,Orange,Density (m2)
2013,4,BN,B,N,3,LUPI,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,N,0.666666667
2013,4,BS,B,S,1,BRRU,0,1,3,2,0,7,12,0,7,10,2,12,4.666666667,Y,186.6666667
2013,4,BS,B,S,1,SCAR,2,2,5,6,3,6,0,1,0,2,5,0,2.666666667,Y,106.6666667
2013,4,BS,B,S,1,ERCI,0,3,1,1,0,4,1,0,0,0,2,2,1.166666667,N,9.333333333
2013,4,BS,B,S,1,ASTR,1,0,0,0,0,2,0,0,1,0,0,0,0.333333333,N,2.666666667
2013,4,BS,B,S,1,UKRT,0,2,0,1,0,0,0,0,0,0,0,0,0.25,N,2
2013,4,BS,B,S,1,BORA,0,0,2,0,0,0,0,0,0,0,0,3,0.416666667,N,3.333333333
2013,4,BS,B,S,1,WOOLY PLANTAIN,0,0,0,1,0,0,0,0,0,0,0,0,0.083333333,N,0.666666667
2013,4,BS,B,S,1,ASTERIACEAE,0,0,0,0,0,0,0,3,0,0,0,0,0.25,N,2
2013,4,BS,B,S,2,BRRU,4,13,7,3,1,4,5,4,7,2,4,1,4.583333333,Y,183.3333333
